标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
奔驰S级PHEV 2023款 S 450 e L,奔驰,https://www.dongchedi.com/usedcar/17432763,盐城,2023年 , 0.60万公里,1,126.77万,70.80万,奔驰S级PHEV 2023款 S 450 e L,盐城,2023年10月,自动,126.77万,奔驰(进口),大型车,插电式混合动力,3.0T 299马力 L6 插电式混动,108,108,450,440,5290x1921x1503,7.3,2999,插电式混合动力 150马力,110
魏牌 P8 2018款 2.0T 尊享型,魏牌,https://www.dongchedi.com/usedcar/17323385,东莞,2018年 , 8万公里,0,30.28万,5.68万,魏牌 P8 2018款 2.0T 尊享型,东莞,2018年8月,自动,30.28万,长城汽车,中型SUV,插电式混合动力,2.0T 234马力 L4 插电式混动,50,慢充4小时,6挡双离合,4760x1931x1655,230,9682.0元,1967,插电式混动 116马力,85
五菱宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/17281440,苏州,2023年 , 0.80万公里,0,4.98万,2.58万,五菱宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,苏州,2023年5月,自动,4.98万,上汽通用五菱,微型车,纯电动,纯电动 27马力,170,170,85,电动车单速变速箱,3门4座两厢车,1.1,永磁/同步,磷酸铁锂电池,8年或12万公里
ID.6 CROZZ 2022款 长续航PRO版,大众,https://www.dongchedi.com/usedcar/17266961,武汉,2022年 , 5.58万公里,1,29.39万,12.79万,ID.6 CROZZ 2022款 长续航PRO版,武汉,2022年4月,自动,29.39万,一汽-大众,中大型SUV,纯电动,纯电动 204马力,601,快充0.67小时 慢充12.5小时,电动车单速变速箱,4891x1848x1679,160,1.63,永磁/同步,三元锂电池,84.8
小鹏P7 2020款 586N,小鹏汽车,https://www.dongchedi.com/usedcar/17211955,武汉,2021年 , 6.90万公里,1,27.09万,10.68万,小鹏P7 2020款 586N,武汉,2021年11月,自动,27.09万,小鹏汽车,中型车,纯电动,纯电动 267马力,586,586,390,电动车单速变速箱,4门5座三厢车,1.47,永磁/同步,三元锂电池,8年或15万公里
探岳GTE 2023款 280TSI  豪华Plus进阶版 ,大众,https://www.dongchedi.com/usedcar/16994521,乌鲁木齐,2023年 , 0.80万公里,0,24.29万,14.58万,探岳GTE 2023款 280TSI  豪华Plus进阶版 ,乌鲁木齐,2023年2月,自动,24.29万,一汽-大众,中型SUV,插电式混合动力,1.4T 150马力 L4 插电式混动,46,46,400,6挡双离合,5门5座SUV,23.3,1395,插电式混动 116马力,85
宋Pro DM 2023款 DM-i 冠军版 71km 超越型,比亚迪,https://www.dongchedi.com/usedcar/16902784,天津,2024年 , 0.59万公里,1,14.28万,7.98万,宋Pro DM 2023款 DM-i 冠军版 71km 超越型,天津,2024年1月,自动,14.28万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,59,71,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
宝马iX1 2023款 xDrive30L X设计套装,宝马,https://www.dongchedi.com/usedcar/16798847,厦门,2024年 , 1.60万公里,0,33.99万,17.65万,宝马iX1 2023款 xDrive30L X设计套装,厦门,2024年4月,自动,33.99万,华晨宝马,紧凑型SUV,纯电动,纯电动 313马力,450,450,494,电动车单速变速箱,5门5座SUV,1.84,励磁/同步,三元锂电池,8年或16万公里
宋PLUS DM 2021款 DM-i 110KM 两驱旗舰 PLUS,比亚迪,https://www.dongchedi.com/usedcar/15607589,南京,2023年 , 2.60万公里,0,17.78万,9.20万,宋PLUS DM 2021款 DM-i 110KM 两驱旗舰 PLUS,南京,2023年2月,自动,17.78万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
AION V 2020款 80 智领版,埃安,https://www.dongchedi.com/usedcar/18499020,上海,2020年 , 5万公里,0,19.96万,9.58万,AION V 2020款 80 智领版,上海,2020年12月,自动,19.96万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 184马力,600,,电动车单速变速箱,4586x1920x1728,,494.0元,永磁/同步,三元锂电池,80
秦PLUS EV 2021款 500KM 豪华型,比亚迪,https://www.dongchedi.com/usedcar/18484383,苏州,2022年 , 5.70万公里,0,15.18万,7.28万,,,,,19.96万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 184马力,600,,电动车单速变速箱,4586x1920x1728,,494.0元,永磁/同步,三元锂电池,80
宋PLUS DM 2021款 DM-i 110KM 两驱旗舰 PLUS,比亚迪,https://www.dongchedi.com/usedcar/18481331,重庆,2023年 , 2.42万公里,0,17.78万,9.98万,宋PLUS DM 2021款 DM-i 110KM 两驱旗舰 PLUS,重庆,2023年3月,自动,17.78万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
Model 3 2021款 Performance高性能全轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18477080,广州,2021年 , 5.40万公里,0,33.99万,16.28万,Model 3 2021款 Performance高性能全轮驱动版,广州,2021年6月,自动,33.99万,特斯拉中国,中型车,纯电动,纯电动 461马力,605,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,261,3001.0元,前感应/异步后永磁/同步,三元锂电池,76.8
宝马5系PHEV 2022款 535Le 豪华套装,宝马,https://www.dongchedi.com/usedcar/18475673,佛山,2022年 , 5.90万公里,0,49.99万,23.98万,,,,,33.99万,特斯拉中国,中型车,纯电动,纯电动 461马力,605,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,261,3001.0元,前感应/异步后永磁/同步,三元锂电池,76.8
岚图梦想家 PHEV 2022款 低碳版 梦,岚图,https://www.dongchedi.com/usedcar/18475137,潍坊,2024年 , 1.20万公里,0,43.99万,22.98万,岚图梦想家 PHEV 2022款 低碳版 梦,潍坊,2024年3月,自动,43.99万,岚图汽车,中大型MPV,插电式混合动力,1.5T 136马力 L4 插电式混动,82,750,290(394Ps),200,电动车单速变速箱,6.6,1476,插电式混合动力 394马力,290
小蚂蚁 2018款 小蚂蚁400 智享版 4座,奇瑞新能源,https://www.dongchedi.com/usedcar/18470884,深圳,2019年 , 1.10万公里,0,6.58万,2.88万,小蚂蚁 2018款 小蚂蚁400 智享版 4座,深圳,2019年5月,自动,6.58万,奇瑞新能源,微型车,纯电动,纯电动 40马力,301,快充0.5小时 慢充7小时,电动车单速变速箱,3200x1670x1550,100,3708.0元,永磁/同步,锂离子电池,35
Model 3 2021款 Performance高性能全轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18469660,南京,2021年 , 5.10万公里,1,33.99万,16.28万,Model 3 2021款 Performance高性能全轮驱动版,南京,2021年3月,自动,33.99万,特斯拉中国,中型车,纯电动,纯电动 461马力,605,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,261,3001.0元,前感应/异步后永磁/同步,三元锂电池,76.8
唐DM 2021款 DM-i 1.5T 112KM 尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18465187,郑州,2023年 , 3.30万公里,0,22.68万,12.78万,唐DM 2021款 DM-i 1.5T 112KM 尊荣型,郑州,2023年2月,自动,22.68万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,112,快充0.5小时 慢充3小时,231,325,4870x1950x1725,5.5,1497,插电式混动 218马力,160
岚图梦想家 PHEV 2022款 低碳版 梦,岚图,https://www.dongchedi.com/usedcar/18462313,潍坊,2024年 , 1.10万公里,0,43.99万,22.98万,岚图梦想家 PHEV 2022款 低碳版 梦,潍坊,2024年2月,自动,43.99万,岚图汽车,中大型MPV,插电式混合动力,1.5T 136马力 L4 插电式混动,82,750,290(394Ps),200,电动车单速变速箱,6.6,1476,插电式混合动力 394马力,290
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18461146,嘉兴,2021年 , 7万公里,0,26.67万,12.80万,,,,,43.99万,岚图汽车,中大型MPV,插电式混合动力,1.5T 136马力 L4 插电式混动,82,750,290(394Ps),200,电动车单速变速箱,6.6,1476,插电式混合动力 394马力,290
ID.4 X 2024款 纯净智享版,大众,https://www.dongchedi.com/usedcar/18458800,西安,2024年 , 0.30万公里,0,19.59万,11.00万,ID.4 X 2024款 纯净智享版,西安,2024年6月,自动,19.5888万,上汽大众,紧凑型SUV,纯电动,纯电动 170马力,425,425,310,电动车单速变速箱,5门5座SUV,14,永磁/同步,三元锂电池,8年或16万公里
Model 3 2021款 标准续航后驱升级版 3D1,特斯拉,https://www.dongchedi.com/usedcar/18457825,佛山,2021年 , 2.10万公里,0,26.67万,13.88万,Model 3 2021款 标准续航后驱升级版 3D1,佛山,2021年7月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
摩卡PHEV 2022款 0焦虑性能版,魏牌,https://www.dongchedi.com/usedcar/18454670,温州,2023年 , 2.60万公里,0,31.50万,13.80万,摩卡PHEV 2022款 0焦虑性能版,温州,2023年5月,自动,31.5万,长城汽车,中型SUV,插电式混合动力,1.5T 156马力 L4 插电式混动,175,快充0.58小时 慢充5.27小时,2挡DHT,4875x1960x1690,190,2.44,1499,插电式混合动力 360马力,265
汉DM 2022款 DM-i 121KM尊享型,比亚迪,https://www.dongchedi.com/usedcar/18442838,深圳,2022年 , 5万公里,0,23.78万,11.38万,汉DM 2022款 DM-i 121KM尊享型,深圳,2022年9月,自动,23.78万,比亚迪,中大型车,插电式混合动力,1.5T 139马力 L4 插电式混动,101,121,102(139Ps),145(197Ps),316,185,1497,插电式混动 197马力,145
大众ID.3 2024款 出众版,大众,https://www.dongchedi.com/usedcar/18435952,佛山,2024年 , 0.70万公里,0,17.14万,9.66万,大众ID.3 2024款 出众版,佛山,2024年3月,自动,17.1388万,上汽大众,紧凑型车,纯电动,纯电动 170马力,450,450,310,电动车单速变速箱,5门5座两厢车,13.1,永磁/同步,三元锂电池,8年或16万公里
汉EV 2022款 创世版 610KM四驱尊享型,比亚迪,https://www.dongchedi.com/usedcar/18424471,南京,2022年 , 5.90万公里,0,29.08万,12.78万,汉EV 2022款 创世版 610KM四驱尊享型,南京,2022年11月,自动,29.08万,比亚迪,中大型车,纯电动,纯电动 517马力,610,快充0.5小时 慢充12.2小时,电动车单速变速箱,4995x1910x1495,185,6年或15万公里,永磁/交流/同步,磷酸铁锂电池,比亚迪
熊猫 2023款 200km 熊猫mini 耐力熊,吉利汽车,https://www.dongchedi.com/usedcar/18405214,西安,2023年 , 1.67万公里,1,4.99万,2.39万,熊猫 2023款 200km 熊猫mini 耐力熊,西安,2023年5月,自动,4.99万,吉利汽车,微型车,纯电动,纯电动 41马力,200,200,110,电动车单速变速箱,3门4座两厢车,9.8,永磁/同步,磷酸铁锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
蔚来ES6 2024款 75kWh,蔚来,https://www.dongchedi.com/usedcar/18403770,中山,2024年 , 0.20万公里,0,33.80万,18.98万,蔚来ES6 2024款 75kWh,中山,2024年10月,自动,33.8万,蔚来,中型SUV,纯电动,纯电动 490马力,500,500,360(490Ps),700,4854x1995x1703,17.6,前交流/异步后永磁/同步,磷酸铁锂电池+三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
蔚来EC6 2020款 605KM 运动版,蔚来,https://www.dongchedi.com/usedcar/18379750,杭州,2021年 , 11.40万公里,0,43.60万,11.90万,蔚来EC6 2020款 605KM 运动版,杭州,2021年6月,自动,43.6万,蔚来,中型SUV,纯电动,纯电动 435马力,605,快充0.8小时 慢充14小时,电动车单速变速箱,4850x1965x1731,200,不限年限/里程(责任免除条款以官方为准),永磁/同步,三元锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
小鹏P7 2020款 586E,小鹏汽车,https://www.dongchedi.com/usedcar/18368946,武汉,2020年 , 8.68万公里,0,28.09万,9.98万,小鹏P7 2020款 586E,武汉,2020年12月,自动,28.09万,小鹏汽车,中型车,纯电动,纯电动 267马力,586,快充0.42小时 慢充5.7小时,电动车单速变速箱,4880x1896x1450,170,5497.0元,永磁/同步,三元锂电池,8年或15万公里
岚图梦想家 PHEV 2022款 低碳版 梦,岚图,https://www.dongchedi.com/usedcar/18344773,东莞,2024年 , 1.10万公里,0,43.99万,22.98万,岚图梦想家 PHEV 2022款 低碳版 梦,东莞,2024年3月,自动,43.99万,岚图汽车,中大型MPV,插电式混合动力,1.5T 136马力 L4 插电式混动,82,750,290(394Ps),200,电动车单速变速箱,6.6,1476,插电式混合动力 394马力,290
岚图梦想家 PHEV 2022款 低碳版 梦,岚图,https://www.dongchedi.com/usedcar/18344728,东莞,2024年 , 1万公里,0,43.99万,22.98万,岚图梦想家 PHEV 2022款 低碳版 梦,东莞,2024年2月,自动,43.99万,岚图汽车,中大型MPV,插电式混合动力,1.5T 136马力 L4 插电式混动,82,750,290(394Ps),200,电动车单速变速箱,6.6,1476,插电式混合动力 394马力,290
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18332091,无锡,2021年 , 5.42万公里,0,26.67万,12.78万,Model 3 2021款 标准续航后驱升级版,无锡,2021年1月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
雷克萨斯UX EV 2020款 300e 纯·悦,雷克萨斯,https://www.dongchedi.com/usedcar/18328859,海口,2020年 , 3.80万公里,0,36.20万,11.38万,雷克萨斯UX EV 2020款 300e 纯·悦,海口,2020年9月,自动,36.2万,雷克萨斯,紧凑型SUV,纯电动,纯电动 204马力,400,快充0.83小时 慢充6.5小时,电动车单速变速箱,4495x1840x1545,160,6年或15万公里,永磁/同步,三元锂电池,54.35
蔚来ES6 2024款 75kWh,蔚来,https://www.dongchedi.com/usedcar/18317879,佛山,2024年 , 0.86万公里,0,33.80万,18.98万,蔚来ES6 2024款 75kWh,佛山,2024年8月,自动,33.8万,蔚来,中型SUV,纯电动,纯电动 490马力,500,500,360(490Ps),700,4854x1995x1703,17.6,前交流/异步后永磁/同步,磷酸铁锂电池+三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
理想ONE 2021款 增程6座版,理想汽车,https://www.dongchedi.com/usedcar/18315147,哈尔滨,2022年 , 5.22万公里,0,34.98万,16.80万,理想ONE 2021款 增程6座版,哈尔滨,2022年7月,自动,34.98万,理想汽车,中大型SUV,增程式,增程式 333马力,188,188,快充0.5小时 慢充6小时,20-80,455,172,1199,增程式 333马力,245
Model Y 2021款 标准续航后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18301092,南京,2021年 , 4.65万公里,1,29.18万,13.99万,Model Y 2021款 标准续航后轮驱动版,南京,2021年9月,自动,29.184万,特斯拉中国,中型SUV,纯电动,纯电动 299马力,525,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,217,1655.0元,永磁/同步,磷酸铁锂电池,60
汉DM 2020款 DM 四驱性能版尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18269526,深圳,2021年 , 8.51万公里,0,24.28万,8.68万,汉DM 2020款 DM 四驱性能版尊贵型,深圳,2021年7月,自动,24.28万,比亚迪,中大型车,插电式混合动力,2.0T 192马力 L4 插电式混动,81,,6挡湿式双离合,4960x1910x1495,185,6年或15万公里,1999,插电式混动 245马力,180
岚图梦想家 PHEV 2022款 低碳版 梦,岚图,https://www.dongchedi.com/usedcar/18240021,重庆,2024年 / 1.18万公里,2024年 / 1.18万公里,1,43.99万,21.16万,岚图梦想家 PHEV 2022款 低碳版 梦,重庆,2024年3月,自动,43.99万,岚图汽车,中大型MPV,插电式混合动力,1.5T 136马力 L4 插电式混动,82,750,290(394Ps),200,电动车单速变速箱,6.6,1476,插电式混合动力 394马力,290
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18228411,重庆,2021年 , 5.32万公里,0,26.67万,12.78万,Model 3 2021款 标准续航后驱升级版,重庆,2021年3月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
问界M5 2022款 增程四驱至臻版,AITO,https://www.dongchedi.com/usedcar/18100123,赣州,2022年 , 4.50万公里,1,28.88万,13.88万,问界M5 2022款 增程四驱至臻版,赣州,2022年8月,自动,28.88万,赛力斯汽车,中型SUV,增程式,增程式 496马力,180,快充0.75小时 慢充5小时,电动车单速变速箱,4770x1930x1625,210,2.68,1499,增程式 496马力,365
迈腾GTE 2022款 豪华型,大众,https://www.dongchedi.com/usedcar/18099466,太原,2022年 , 2.90万公里,1,23.79万,12.38万,迈腾GTE 2022款 豪华型,太原,2022年1月,自动,23.79万,一汽-大众,中型车,插电式混合动力,1.4T 150马力 L4 插电式混动,63,,6挡双离合,4865x1832x1469,200,1.7,1395,插电式混动 116马力,85
ID.4 CROZZ 2021款 长续航PURE+两驱版,大众,https://www.dongchedi.com/usedcar/18082709,东莞,2022年 , 4.50万公里,0,21.99万,10.53万,ID.4 CROZZ 2021款 长续航PURE+两驱版,东莞,2022年1月,自动,21.99万,一汽-大众,紧凑型SUV,纯电动,纯电动 204马力,550,快充0.5小时,电动车单速变速箱,4592x1852x1629,160,3570.0元,永磁/同步,三元锂电池,8年或16万公里
深蓝SL03 2022款 1200增程版,深蓝汽车,https://www.dongchedi.com/usedcar/17840860,广州,2022年 , 2.70万公里,0,17.19万,8.98万,深蓝SL03 2022款 1200增程版,广州,2022年10月,自动,17.19万,深蓝汽车,中型车,增程式,增程式 218马力,200,200,160(218Ps),320,4820x1890x1480,0.75,1480,增程式 218马力,160
吉利几何E萤火虫 2023款 401KM 玲珑虎,吉利几何,https://www.dongchedi.com/usedcar/17655905,重庆,2023年 , 2.91万公里,1,9.78万,5.10万,吉利几何E萤火虫 2023款 401KM 玲珑虎,重庆,2023年2月,自动,9.78万,吉利几何,小型SUV,纯电动,纯电动 82马力,401,401,130,电动车单速变速箱,5门4/5座SUV,1.3,永磁/同步,磷酸铁锂电池,8年或15万公里
飞凡F7 2023款 长续版,飞凡汽车,https://www.dongchedi.com/usedcar/17651965,上海,2023年 , 0.73万公里,1,24.99万,12.99万,飞凡F7 2023款 长续版,上海,2023年5月,自动,24.99万,飞凡汽车,中大型车,纯电动,纯电动 340马力,666,666,450,电动车单速变速箱,5门5座掀背车,1.76,永磁/同步,三元锂电池,8年或15万公里
宋PLUS DM 2021款 DM-i 110KM 两驱旗舰型,比亚迪,https://www.dongchedi.com/usedcar/17630432,西安,2022年 , 3.30万公里,0,16.78万,8.73万,宋PLUS DM 2021款 DM-i 110KM 两驱旗舰型,西安,2022年11月,自动,16.78万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
欧拉好猫 2021款 500km长续航 波塞冬版 三元锂电池,欧拉,https://www.dongchedi.com/usedcar/17380029,郑州,2021年 , 4.60万公里,0,14.39万,6.89万,,,,,16.78万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
极狐 阿尔法S 2022款 HI版 进阶版,ARCFOX极狐,https://www.dongchedi.com/usedcar/17356774,郑州,2021年 , 3.60万公里,0,39.79万,10.88万,极狐 阿尔法S 2022款 HI版 进阶版,郑州,2021年12月,自动,39.79万,北汽新能源,中大型车,纯电动,纯电动 643马力,500,快充0.25小时 慢充13小时,电动车单速变速箱,4980x1960x1599,200,5年或20万公里,前交流/异步后永磁/同步,三元锂电池,首任车主不限年限/里程(责任免除条款以官方为准)
AION S 2023款 炫 530,埃安,https://www.dongchedi.com/usedcar/16962851,南宁,2024年 , 1.93万公里,0,13.98万,7.28万,AION S 2023款 炫 530,南宁,2024年4月,自动,13.98万,广汽埃安新能源,紧凑型车,纯电动,纯电动 136马力,420,420,225,电动车单速变速箱,4门5座三厢车,1.36,永磁/同步,磷酸铁锂电池,首任车主终身质保(责任免除条款以官方为准)
大众ID.3 2024款 极智版,大众,https://www.dongchedi.com/usedcar/16902717,东莞,2024年 , 0.92万公里,1,18.09万,10.18万,大众ID.3 2024款 极智版,东莞,2024年3月,自动,18.0888万,上汽大众,紧凑型车,纯电动,纯电动 170马力,450,450,310,电动车单速变速箱,5门5座两厢车,13.1,永磁/同步,三元锂电池,8年或16万公里
唐DM 2019款 DM 2.0T 全时四驱智联创享型 5座 国VI,比亚迪,https://www.dongchedi.com/usedcar/16772408,广州,2020年 , 6万公里,0,26.34万,9.38万,唐DM 2019款 DM 2.0T 全时四驱智联创享型 5座 国VI,广州,2020年1月,自动,26.34万,比亚迪,中型SUV,插电式混合动力,2.0T 192马力 L4 插电式混动,81,慢充5.8小时,6挡双离合,4870x1950x1725,,6年或15万公里,1999,插电式混动 394马力,290
海豹 2023款 700KM 冠军版 性能版,比亚迪,https://www.dongchedi.com/usedcar/15976977,佛山,2023年 , 0.70万公里,0,23.98万,13.50万,海豹 2023款 700KM 冠军版 性能版,佛山,2023年7月,自动,23.98万,比亚迪,中型车,纯电动,纯电动 313马力,700,快充0.5小时 慢充11.79小时,电动车单速变速箱,4800x1875x1460,180,6年或15万公里,永磁/同步,磷酸铁锂电池,比亚迪
欧拉黑猫 2019款 351km 女神版,欧拉,https://www.dongchedi.com/usedcar/14449412,郑州,2020年 , 6万公里,0,7.98万,3.50万,欧拉黑猫 2019款 351km 女神版,郑州,2020年5月,自动,7.98万,长城汽车,微型车,纯电动,纯电动 48马力,351,快充0.67小时 慢充10小时,电动车单速变速箱,3495x1660x1560,102,116.0元,永磁/同步,三元锂电池,33
Model Y 2022款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18498032,合肥,2022年 / 4.43万公里,2022年 / 4.43万公里,1,31.69万,15.29万,,,,,7.98万,长城汽车,微型车,纯电动,纯电动 48马力,351,快充0.67小时 慢充10小时,电动车单速变速箱,3495x1660x1560,102,116.0元,永磁/同步,三元锂电池,33
海豚 2023款 时尚版,比亚迪,https://www.dongchedi.com/usedcar/18480662,深圳,2023年 , 2.30万公里,0,12.38万,6.98万,海豚 2023款 时尚版,深圳,2023年3月,自动,12.38万,比亚迪,小型车,纯电动,纯电动 95马力,420,快充0.5小时 慢充6.41小时,电动车单速变速箱,4125x1770x1570,150,1.2,永磁/同步,磷酸铁锂电池,比亚迪
宝马5系PHEV 2022款 改款 535Le 先锋版M运动套装,宝马,https://www.dongchedi.com/usedcar/18479791,重庆,2022年 , 5.91万公里,0,53.69万,25.98万,宝马5系PHEV 2022款 改款 535Le 先锋版M运动套装,重庆,2022年1月,自动,53.69万,华晨宝马,中大型车,插电式混合动力,2.0T 184马力 L4 插电式混动,95,慢充3.9小时,8挡手自一体,5106x1868x1490,225,3年或10万公里,1998,插电式混动 109马力,80
宝马i3 2023款 eDrive 40 L 曜夜套装,宝马,https://www.dongchedi.com/usedcar/18479334,北京,2023年 , 2.20万公里,2,38.39万,16.90万,宝马i3 2023款 eDrive 40 L 曜夜套装,北京,2023年8月,自动,38.39万,华晨宝马,中型车,纯电动,纯电动 340马力,592,592,430,电动车单速变速箱,4门5座三厢车,1.59,励磁/同步,三元锂电池,8年或16万公里
秦PLUS DM 2023款 DM-i 冠军版 120KM 超越型,比亚迪,https://www.dongchedi.com/usedcar/18474085,深圳,2024年 , 0.50万公里,0,13.58万,7.69万,秦PLUS DM 2023款 DM-i 冠军版 120KM 超越型,深圳,2024年3月,自动,13.58万,比亚迪,紧凑型车,插电式混合动力,1.5L 110马力 L4 插电式混动,101,120,30-80,81(110Ps),135,4门5座三厢车,1498,插电式混合动力 197马力,145
哪吒GT 2023款 580 AWD 运动版,哪吒汽车,https://www.dongchedi.com/usedcar/18473164,东莞,2024年 , 2.39万公里,0,23.58万,10.38万,哪吒GT 2023款 580 AWD 运动版,东莞,2024年2月,自动,23.58万,合众汽车,跑车,纯电动,纯电动 462马力,580,580,620,电动车单速变速箱,2门4座硬顶跑车,4年或12万公里,永磁/同步,三元锂电池,78
ID.4 CROZZ 2024款 PRO,大众,https://www.dongchedi.com/usedcar/18464573,昆明,2024年 , 0.50万公里,0,25.79万,14.58万,ID.4 CROZZ 2024款 PRO,昆明,2024年5月,自动,25.79万,一汽-大众,紧凑型SUV,纯电动,纯电动 204马力,600,600,310,电动车单速变速箱,5门5座SUV,14.3,永磁/同步,三元锂电池,8年或16万公里
荣威D7 DMH 2023款 125卓越版,荣威,https://www.dongchedi.com/usedcar/18459826,西安,2024年 , 0.51万公里,0,13.58万,7.68万,荣威D7 DMH 2023款 125卓越版,西安,2024年4月,自动,13.58万,上汽集团,中型车,插电式混合动力,1.5L 112马力 L4 插电式混动,103,103,30-80,82(112Ps),135,4门5座三厢车,1498,插电式混动 204马力,150
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18455442,南宁,2021年 , 4.40万公里,0,26.67万,12.88万,Model 3 2021款 标准续航后驱升级版,南宁,2021年1月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
汉DM 2022款 DM-i 121KM尊享型,比亚迪,https://www.dongchedi.com/usedcar/18452609,西安,2022年 , 6.18万公里,0,23.78万,9.49万,汉DM 2022款 DM-i 121KM尊享型,西安,2022年6月,自动,23.78万,比亚迪,中大型车,插电式混合动力,1.5T 139马力 L4 插电式混动,101,121,102(139Ps),145(197Ps),316,185,1497,插电式混动 197马力,145
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18449971,苏州,2021年 , 5.60万公里,0,26.67万,12.88万,Model 3 2021款 标准续航后驱升级版,苏州,2021年9月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
Model 3 2021款 标准续航后驱升级版,特斯拉,https://www.dongchedi.com/usedcar/18444249,杭州,2021年 , 2万公里,0,26.67万,13.98万,Model 3 2021款 标准续航后驱升级版,杭州,2021年2月,自动,26.674万,特斯拉中国,中型车,纯电动,纯电动 275马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
欧拉好猫 2022款 400km标准续航 豪华型 三元锂,欧拉,https://www.dongchedi.com/usedcar/18434329,南京,2021年 , 4.20万公里,1,12.79万,6.18万,欧拉好猫 2022款 400km标准续航 豪华型 三元锂,南京,2021年8月,自动,12.79万,长城汽车,小型车,纯电动,纯电动 143马力,401,快充0.5小时 慢充8小时,电动车单速变速箱,4235x1825x1596,150,1980.0元,永磁/同步,三元锂电池,45.99
蔚来ET5T 2024款 75kWh,蔚来,https://www.dongchedi.com/usedcar/18432813,南京,2024年 , 1.40万公里,0,29.80万,15.58万,蔚来ET5T 2024款 75kWh,南京,2024年3月,自动,29.8万,蔚来,中型车,纯电动,纯电动 490马力,530,530,360(490Ps),700,4790x1960x1499,16.2,前感应/异步后永磁/同步,磷酸铁锂电池+三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
