标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价
英仕派 2019款 260TURBO 精致版 国VI,本田,https://www.dongchedi.com/usedcar/18440713,东莞,2020年 , 7.20万公里,1,19.28万,8.86万
星瑞 2023款 2.0T 精英型,吉利汽车,https://www.dongchedi.com/usedcar/18435423,苏州,2022年 , 3.60万公里,0,11.37万,7.10万
奔驰GLA 2020款 GLA 180,奔驰,https://www.dongchedi.com/usedcar/18415273,武汉,2021年 , 6.30万公里,1,27.68万,13.89万
沃尔沃S90 2020款 T5 智逸豪华版,沃尔沃,https://www.dongchedi.com/usedcar/18389648,成都,2020年 , 5万公里,0,40.29万,16.88万
凯美瑞 2023款 2.0G 豪华版,丰田,https://www.dongchedi.com/usedcar/18312918,重庆,2024年 , 1.71万公里,0,19.98万,14.98万
日产NV200 2013款 1.6L 豪华型 国IV,日产,https://www.dongchedi.com/usedcar/18298902,佛山,2014年 , 14.50万公里,0,10.58万,2.68万
帕萨特 2011款 1.8TSI DSG尊荣版,大众,https://www.dongchedi.com/usedcar/18291158,上海,2013年 , 10万公里,0,21.88万,2.88万
缤瑞 2022款 缤瑞COOL 1.5T DCT雷霆版,吉利汽车,https://www.dongchedi.com/usedcar/18273811,昆明,2022年 , 5.20万公里,0,10.98万,5.50万
奔驰GLA 2022款 GLA 200,奔驰,https://www.dongchedi.com/usedcar/18245542,北京,2022年 , 7.50万公里,0,30.38万,13.98万
天籁 2021款 2.0L XL 舒适版,日产,https://www.dongchedi.com/usedcar/17987396,台州,2022年 , 4.85万公里,1,18.78万,10.98万
长安UNI-V 2022款 1.5T 卓越型,长安,https://www.dongchedi.com/usedcar/18491687,成都,2023年 , 0.92万公里,1,10.89万,7.30万
捷途X70 PLUS 2021款 1.6T DCT天 5座,捷途,https://www.dongchedi.com/usedcar/18484824,苏州,2021年 , 3.80万公里,0,13.70万,7.48万
智跑 2019款 2.0L 自动智享豪华版,起亚,https://www.dongchedi.com/usedcar/18483515,成都,2019年 , 6万公里,0,13.99万,6.48万
奔驰E级 2016款 E 200 L 运动型,奔驰,https://www.dongchedi.com/usedcar/18454753,东莞,2016年 , 9.80万公里,0,43.68万,16.68万
奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,奥迪,https://www.dongchedi.com/usedcar/18442392,上海,2023年 , 1.70万公里,1,22.98万,13.50万
MINI 2021款 1.5T ONE PLUS 五门版,MINI,https://www.dongchedi.com/usedcar/18441438,青岛,2021年 , 5.40万公里,0,21.18万,11.58万
奔驰E级 2016款 E 200 L 运动型,奔驰,https://www.dongchedi.com/usedcar/18441365,南通,2017年 , 11.28万公里,0,43.68万,16.58万
思域 2022款 240TURBO CVT劲动版,本田,https://www.dongchedi.com/usedcar/18438059,厦门,2022年 , 3万公里,0,14.29万,8.98万
汉兰达 2018款 2.0T 四驱尊贵版 7座 国VI,丰田,https://www.dongchedi.com/usedcar/18433769,昆明,2020年 , 3.70万公里,0,30.68万,17.98万
哈弗M6 2019款 1.5T DCT两驱精英型 国V,哈弗,https://www.dongchedi.com/usedcar/18368504,青岛,2019年 , 2.80万公里,1,8.10万,4.08万
荣威i5 2020款 1.5L 自动4G互联领豪版,荣威,https://www.dongchedi.com/usedcar/18343508,上海,2021年 , 6.80万公里,0,8.79万,2.99万
宝马X1 2012款 sDrive18i 时尚型,宝马,https://www.dongchedi.com/usedcar/18333330,汕头,2012年 , 12.80万公里,1,28.20万,2.60万
科帕奇经典(进口) 2010款 3.2 AT 7座旗舰型,雪佛兰,https://www.dongchedi.com/usedcar/18274161,苏州,2012年 , 10.90万公里,0,27.58万,1.38万
雷克萨斯LS 2018款 350 豪华版 国V,雷克萨斯,https://www.dongchedi.com/usedcar/17821184,东莞,2018年 , 12.78万公里,0,94.20万,36.00万
长安UNI-K 2021款 2.0T 尊贵型,长安,https://www.dongchedi.com/usedcar/16328996,台州,2021年 , 3.28万公里,0,16.99万,9.98万
长安UNI-V 2022款 1.5T 运动版,长安,https://www.dongchedi.com/usedcar/18488985,苏州,2022年 , 4.10万公里,1,12.39万,6.80万
奥迪A6L 2019款 45 TFSI quattro 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18477442,烟台,2019年 , 7.20万公里,2,46.38万,21.68万
林肯Z 2022款 i酷 尊雅版,林肯,https://www.dongchedi.com/usedcar/18474672,苏州,2022年 , 7万公里,0,29.98万,13.99万
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,马自达,https://www.dongchedi.com/usedcar/18433656,佛山,2017年 , 8.50万公里,1,13.99万,4.78万
雨燕 2011款 1.5L 自动时尚版,铃木,https://www.dongchedi.com/usedcar/18392753,北京,2013年 , 8.60万公里,1,7.98万,2.40万
马自达3 昂克赛拉 2022款 2.0L 自动质炫版,马自达,https://www.dongchedi.com/usedcar/18376545,常州,2022年 , 2.70万公里,1,13.99万,7.68万
领克03 2021款 1.5TD DCT劲Plus,领克,https://www.dongchedi.com/usedcar/18358448,常州,2020年 , 9万公里,0,13.68万,6.38万
马自达3 昂克赛拉 2016款 三厢 1.5L 自动舒适型,马自达,https://www.dongchedi.com/usedcar/18325385,温州,2016年 , 12.70万公里,0,12.59万,3.78万
长安UNI-T 2023款 第二代 1.5T 尊贵型,长安,https://www.dongchedi.com/usedcar/18287433,西安,2024年 , 1.13万公里,0,12.39万,9.36万
杰德 2020款 1.8L 自动舒适版,本田,https://www.dongchedi.com/usedcar/18259622,深圳,2020年 , 6.20万公里,1,13.99万,7.68万
影豹 2021款 270T J15版,广汽传祺,https://www.dongchedi.com/usedcar/18237895,石家庄,2022年 , 1.61万公里,1,11.80万,7.95万
本田XR-V 2015款 1.8L VTi CVT豪华版,本田,https://www.dongchedi.com/usedcar/18218797,长沙,2016年 , 15万公里,0,16.28万,4.88万
雷凌 2017款 改款 185T CVT精英版 国V,丰田,https://www.dongchedi.com/usedcar/18133352,佛山,2017年 , 9万公里,1,12.48万,4.28万
沃尔沃C30 2010款 改款 2.0智尚版,沃尔沃,https://www.dongchedi.com/usedcar/18130318,广州,2010年 , 9万公里,0,29.80万,2.80万
捷豹XFL 2024款 2.0T P300 四驱旗舰运动鎏金版,捷豹,https://www.dongchedi.com/usedcar/18106011,合肥,2024年 , 1.05万公里,0,48.79万,28.80万
宝马3系 2022款 325Li M运动套装,宝马,https://www.dongchedi.com/usedcar/18090298,佛山,2022年 , 5万公里,0,34.53万,21.78万
五菱荣光 2021款 1.2L S 标准型空调版 7座,五菱汽车,https://www.dongchedi.com/usedcar/17689276,成都,2022年 , 7万公里,0,4.65万,1.98万
星瑞 2023款 2.0T 豪华型,吉利汽车,https://www.dongchedi.com/usedcar/18483227,武汉,2023年 , 3.60万公里,0,12.57万,7.98万
Panamera 2024款 Panamera 2.9T,保时捷,https://www.dongchedi.com/usedcar/18447220,北京,2024年 , 1.20万公里,0,113.80万,109.80万
领克03 2021款 1.5TD DCT劲Plus,领克,https://www.dongchedi.com/usedcar/18384800,长沙,2020年 , 8万公里,1,13.68万,5.86万
大通G10 2016款 2.0T 自动精英版,上汽大通MAXUS,https://www.dongchedi.com/usedcar/18380648,石家庄,2017年 , 8.40万公里,1,16.38万,5.65万
标致3008 2013款 2.0L 自动潮流版,标致,https://www.dongchedi.com/usedcar/18326773,沈阳,2013年 , 11万公里,1,18.67万,1.80万
宝马3系 2022款 325Li M运动套装,宝马,https://www.dongchedi.com/usedcar/18315917,广州,2023年 , 2.51万公里,2,34.53万,23.28万
星瑞 2025款 1.5T 东方曜·扶摇版,吉利汽车,https://www.dongchedi.com/usedcar/18079397,昆明,2025年 , 0.08万公里,0,10.87万,10.48万
艾瑞泽8 2022款 1.6TGDI DCT臻,奇瑞,https://www.dongchedi.com/usedcar/18009547,成都,2022年 , 2.07万公里,1,13.29万,7.88万
宝马5系 2023款 530Li 尊享型 M运动套装,宝马,https://www.dongchedi.com/usedcar/17982330,沈阳,2023年 , 2.83万公里,0,52.25万,35.33万
奥迪A5 2024款 Sportback 40 TFSI 时尚动感型,奥迪,https://www.dongchedi.com/usedcar/17971494,合肥,2024年 , 0.65万公里,0,38.58万,24.50万
威然 2022款 330TSI 商务版,大众,https://www.dongchedi.com/usedcar/17896686,武汉,2021年 , 2.20万公里,0,28.98万,15.98万
北京BJ40 2023款 2.0T 自动四驱城市猎人版侠客型,北京,https://www.dongchedi.com/usedcar/17839254,石家庄,2023年 , 2.59万公里,1,17.98万,12.16万
高尔夫 2021款 280TSI DSG Pro,大众,https://www.dongchedi.com/usedcar/17687433,南京,2022年 , 3.91万公里,1,14.98万,9.49万
宝马3系 2021款 325i M运动曜夜套装,宝马,https://www.dongchedi.com/usedcar/18495877,北京,2020年 , 5.90万公里,0,33.19万,18.38万
领克03 2019款 2.0TD 自动劲版,领克,https://www.dongchedi.com/usedcar/18487400,温州,2019年 , 6.50万公里,0,15.48万,7.28万
哈弗M6 2018款 改款 1.5T DCT两驱都市型,哈弗,https://www.dongchedi.com/usedcar/18461886,桂林,2018年 , 7万公里,0,7.60万,3.58万
速腾 2021款 280TSI DSG 30周年纪念版,大众,https://www.dongchedi.com/usedcar/18403600,温州,2022年 , 5万公里,0,15.53万,7.98万
宝马5系 2020款 525Li M运动套装,宝马,https://www.dongchedi.com/usedcar/18347635,上海,2020年 , 8万公里,0,42.69万,20.18万
凯迪拉克CT5 2021款 28T 豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18319428,东莞,2021年 , 4.70万公里,0,29.97万,15.38万
明锐 2018款 1.6L 自动豪华版,斯柯达,https://www.dongchedi.com/usedcar/18318515,苏州,2018年 , 4.62万公里,1,14.69万,4.50万
科鲁兹 2013款 1.8L SE AT,雪佛兰,https://www.dongchedi.com/usedcar/18282783,温州,2014年 , 14.10万公里,3,13.69万,1.38万
凯迪拉克CT5 2020款 28T 铂金运动型,凯迪拉克,https://www.dongchedi.com/usedcar/18249850,东莞,2020年 , 7.30万公里,0,33.97万,15.98万
轩逸 2021款 1.6L XL CVT智享版,日产,https://www.dongchedi.com/usedcar/18234771,佛山,2021年 , 5.07万公里,3,13.39万,6.88万
荣威RX5 2016款 20T 两驱自动旗舰版,荣威,https://www.dongchedi.com/usedcar/18024922,上海,2017年 , 7.50万公里,0,13.88万,2.54万
别克GL8 2018款 28T 豪华型 国VI,别克,https://www.dongchedi.com/usedcar/17942229,苏州,2020年 , 5万公里,1,25.29万,12.98万
宝马3系 2010款 320i 时尚型,宝马,https://www.dongchedi.com/usedcar/17908340,杭州,2010年 , 20万公里,0,34.20万,2.05万
星越L 2021款 2.0TD 高功自动四驱旗舰型,吉利汽车,https://www.dongchedi.com/usedcar/18488379,成都,2021年 , 4.30万公里,0,18.52万,10.30万
奔驰C级 2020款 C 200 L 动感型运动版,奔驰,https://www.dongchedi.com/usedcar/18463713,泉州,2020年 , 8.10万公里,0,30.78万,14.60万
缤越 2019款 260T DCT猎手 国VI,吉利汽车,https://www.dongchedi.com/usedcar/18431770,苏州,2019年 , 6.50万公里,0,8.98万,3.88万
雷克萨斯LX 2017款 570 尊贵豪华版,雷克萨斯,https://www.dongchedi.com/usedcar/18412178,深圳,2017年 , 19万公里,1,133.90万,91.00万
途安L 2018款 280TSI 自动舒适版 7座 国V,大众,https://www.dongchedi.com/usedcar/18381453,深圳,2018年 , 8.30万公里,0,16.58万,7.18万
冠道 2023款 370 TURBO 9AT 豪华版,本田,https://www.dongchedi.com/usedcar/18336746,深圳,2024年 , 1.04万公里,0,27.98万,21.38万
宝马7系 2021款 740Li 领先型 M运动套装,宝马,https://www.dongchedi.com/usedcar/18327303,成都,2021年 , 6.70万公里,0,93.80万,44.50万
星越L 2024款 2.0TD DCT EVO两驱长风版,吉利汽车,https://www.dongchedi.com/usedcar/18320911,合肥,2024年 , 0.40万公里,0,14.77万,11.90万
雷克萨斯UX 2020款 200 特别版,雷克萨斯,https://www.dongchedi.com/usedcar/18316031,东莞,2021年 , 4.80万公里,0,25.90万,13.38万
奔驰E级 2023款 E 260 L 运动轿车,奔驰,https://www.dongchedi.com/usedcar/18128224,南京,2022年 , 1.80万公里,0,44.01万,29.93万
奔驰GLC 2017款 GLC 260 4MATIC 豪华型,奔驰,https://www.dongchedi.com/usedcar/18052161,青岛,2017年 , 9万公里,1,44.50万,15.60万
奥迪A3 2023款 改款 A3L Limousine 35 TFSI 时尚运动型,奥迪,https://www.dongchedi.com/usedcar/17768628,东莞,2024年 , 1.40万公里,0,22.98万,14.68万
别克GL8 2017款 25S 尊贵型 国V,别克,https://www.dongchedi.com/usedcar/16956884,长春,2017年 , 15万公里,1,26.99万,8.38万
宝马7系 2021款 730Li 豪华套装,宝马,https://www.dongchedi.com/usedcar/16292428,长春,2021年 , 7.79万公里,1,82.80万,42.58万
影豹 2023款 400T 自动R Max版,广汽传祺,https://www.dongchedi.com/usedcar/18495013,成都,2023年 , 1.40万公里,1,15.80万,9.48万
别克GL8 2017款 ES 28T 尊享型 国V,别克,https://www.dongchedi.com/usedcar/18485828,北京,2017年 , 12万公里,1,32.99万,12.98万
长安UNI-V 2023款 1.5T 尊享型,长安,https://www.dongchedi.com/usedcar/18484639,苏州,2023年 , 3.90万公里,0,10.89万,6.98万
探岳 2019款 征途版 280TSI 两驱豪华型 国VI,大众,https://www.dongchedi.com/usedcar/18474615,银川,2020年 , 8.80万公里,1,20.29万,9.68万
哈弗H6 2021款 国潮版 1.5GDIT 自动冠军版,哈弗,https://www.dongchedi.com/usedcar/18462981,金华,2022年 , 2.60万公里,0,11.39万,7.30万
逸动 2024款 1.5T GDI DCT畅享版,长安,https://www.dongchedi.com/usedcar/18462209,成都,2024年 , 0.39万公里,0,8.39万,5.38万
奔驰E级 2021款 改款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18460120,郑州,2021年 , 2.80万公里,0,49.89万,29.98万
ZR-V 致在 2023款 1.5T CVT智享版,本田,https://www.dongchedi.com/usedcar/18402092,佛山,2023年 , 1.40万公里,1,17.79万,10.68万
凯美瑞 2019款 2.0G 豪华版 国VI,丰田,https://www.dongchedi.com/usedcar/18359478,唐山,2019年 , 3.16万公里,0,19.98万,10.38万
君威 2014款 1.6T 时尚技术型,别克,https://www.dongchedi.com/usedcar/18329589,深圳,2014年 , 12万公里,1,19.99万,2.10万
奔驰E级 2023款 E 260 L 轿车,奔驰,https://www.dongchedi.com/usedcar/18277518,青岛,2023年 , 4.89万公里,0,44.01万,31.88万
蒙迪欧-致胜 2011款 2.0T GTDi200时尚型,福特,https://www.dongchedi.com/usedcar/18120165,苏州,2013年 , 10万公里,0,19.98万,1.30万
MINI CLUBMAN 2019款 1.5T COOPER 鉴赏家,MINI,https://www.dongchedi.com/usedcar/18480209,北京,2020年 , 6.60万公里,0,28.78万,13.80万
宝马3系 2021款 改款 320Li M运动套装,宝马,https://www.dongchedi.com/usedcar/18470636,西安,2021年 , 2.60万公里,0,31.89万,19.28万
五菱宏光PLUS 2019款 1.5T 手动标准型 5座,五菱汽车,https://www.dongchedi.com/usedcar/18377620,成都,2020年 , 12.80万公里,0,6.48万,2.58万
福克斯 2009款 两厢 1.8L 自动时尚型,福特,https://www.dongchedi.com/usedcar/18289444,杭州,2010年 , 7万公里,0,13.49万,1.45万
途岳 2022款 280TSI 两驱舒适版,大众,https://www.dongchedi.com/usedcar/18254645,哈尔滨,2022年 , 1.60万公里,0,17.56万,10.58万
奔驰A级AMG(进口) 2014款 AMG A 45 4MATIC,奔驰,https://www.dongchedi.com/usedcar/17985317,武汉,2015年 , 8.88万公里,0,49.80万,9.58万
思域 2020款 HATCHBACK 220TURBO CVT潮酷控,本田,https://www.dongchedi.com/usedcar/17801526,佛山,2021年 , 7万公里,0,15.29万,7.98万
奥迪A3 2024款 A3L Limousine 35 TFSI 进取运动型,奥迪,https://www.dongchedi.com/usedcar/15518099,西安,2024年 , 0.70万公里,0,20.96万,12.68万
奥迪A3 2024款 A3L Limousine 35 TFSI 时尚致雅型,奥迪,https://www.dongchedi.com/usedcar/18474744,苏州,2024年 , 1.60万公里,0,23.07万,13.99万
星瑞 2020款 2.0T 豪华型,吉利汽车,https://www.dongchedi.com/usedcar/18469032,金华,2021年 , 5万公里,0,12.37万,6.98万
宝马5系 2018款 528Li 上市特别版,宝马,https://www.dongchedi.com/usedcar/18468616,漳州,2018年 , 10万公里,1,44.99万,17.98万
奔驰A级 2022款 二次改款 A 200 L 运动轿车时尚版,奔驰,https://www.dongchedi.com/usedcar/18463709,苏州,2022年 , 3.67万公里,1,25.44万,14.39万
途观X 2021款 330TSI 越享版,大众,https://www.dongchedi.com/usedcar/18438387,佛山,2021年 , 3万公里,0,24.59万,13.88万
ZR-V 致在 2022款 1.5T CVT精英版,本田,https://www.dongchedi.com/usedcar/18402854,佛山,2023年 , 1.40万公里,1,15.99万,9.68万
轩逸 2022款 1.6L XL CVT悦享版,日产,https://www.dongchedi.com/usedcar/18360115,惠州,2022年 , 2.97万公里,0,12.99万,7.88万
博越L 2023款 1.5TD DCT尊贵型,吉利汽车,https://www.dongchedi.com/usedcar/18335884,苏州,2022年 , 5万公里,0,13.17万,7.46万
红旗HS3 2023款 2.0T 四驱有为版,红旗,https://www.dongchedi.com/usedcar/18321068,成都,2023年 , 3万公里,0,19.58万,11.88万
途昂 2019款 380TSI 四驱豪华版 国VI,大众,https://www.dongchedi.com/usedcar/18162132,青岛,2020年 , 12.30万公里,0,35.99万,14.39万
朗逸 2023款 300TSI DSG满逸版,大众,https://www.dongchedi.com/usedcar/18133305,深圳,2024年 , 0.40万公里,0,13.89万,8.98万
雅阁 2022款 260TURBO 幻夜·尊贵版,本田,https://www.dongchedi.com/usedcar/18048006,东莞,2021年 , 2.30万公里,0,20.28万,13.98万
科鲁兹 2015款 1.5L 经典 SE AT,雪佛兰,https://www.dongchedi.com/usedcar/18046208,温州,2015年 , 11.20万公里,0,10.99万,1.68万
宝马3系 2020款 改款 325Li M运动曜夜套装,宝马,https://www.dongchedi.com/usedcar/18045316,东莞,2020年 , 5.20万公里,1,36.39万,19.08万
奥迪A5 2023款 Sportback 40 TFSI 时尚动感型,奥迪,https://www.dongchedi.com/usedcar/17999157,西安,2023年 , 1.73万公里,0,38.58万,24.98万
坦克300 2021款 越野版 2.0T 征服者,坦克,https://www.dongchedi.com/usedcar/17800863,成都,2022年 , 2.20万公里,0,21.38万,12.96万
威霆 2018款 2.0T 精英版 7座 国VI,奔驰,https://www.dongchedi.com/usedcar/17740420,苏州,2020年 , 4.41万公里,0,28.98万,16.37万
蒙迪欧 2013款 1.5L GTDi180时尚型,福特,https://www.dongchedi.com/usedcar/17391487,温州,2015年 , 8.90万公里,0,18.98万,3.68万
翼神 2013款 时尚版 1.8L CVT舒适型,三菱,https://www.dongchedi.com/usedcar/17319818,惠州,2014年 , 10.50万公里,2,13.08万,1.98万
影豹 2021款 270T J15版,广汽传祺,https://www.dongchedi.com/usedcar/18431404,苏州,2021年 , 4.20万公里,0,11.80万,6.20万
凯美瑞 2019款 2.5S 锋尚版 国VI,丰田,https://www.dongchedi.com/usedcar/18426278,东莞,2020年 , 4万公里,0,22.28万,12.68万
奕跑 2019款 1.4L 自动趣享版 国VI,起亚,https://www.dongchedi.com/usedcar/18416635,温州,2019年 , 4.30万公里,0,7.98万,3.88万
奥迪A3 2018款 30周年年型 Sportback 35 TFSI 进取型,奥迪,https://www.dongchedi.com/usedcar/18396702,厦门,2018年 , 4.60万公里,1,19.05万,7.68万
宝马5系 2021款 530Li 尊享型 豪华套装,宝马,https://www.dongchedi.com/usedcar/18386409,东莞,2021年 , 4.40万公里,0,50.69万,28.80万
阅朗 2019款 18T 自动互联精英型 国VI,别克,https://www.dongchedi.com/usedcar/18189086,北京,2020年 , 4.50万公里,1,13.89万,3.88万
奥迪Q5 2011款 2.0TFSI 技术型,奥迪,https://www.dongchedi.com/usedcar/18003710,长沙,2013年 , 12.28万公里,1,42.38万,4.88万
威霆 2020款 2.0T 商务版 7座,奔驰,https://www.dongchedi.com/usedcar/17985076,广州,2021年 , 10万公里,0,34.18万,16.58万
捷途X70 PLUS 2025款 1.5T 7DCT 旗舰版7座,捷途,https://www.dongchedi.com/usedcar/17973643,成都,2024年 , 0.10万公里,0,14.09万,9.18万
博越 2022款 博越X 1.8TD DCT智慧型,吉利汽车,https://www.dongchedi.com/usedcar/17935997,东莞,2022年 , 3.10万公里,0,12.28万,6.98万
思域 2019款 220TURBO CVT劲动版 国VI,本田,https://www.dongchedi.com/usedcar/17923568,佛山,2020年 , 5.25万公里,0,13.99万,7.38万
FORESTER森林人 2014款 2.0i 自动舒适版,斯巴鲁,https://www.dongchedi.com/usedcar/17441422,东莞,2014年 , 8.70万公里,1,23.48万,4.60万
别克GL8 2021款 ES陆尊 653T 舒适型,别克,https://www.dongchedi.com/usedcar/16876093,兰州,2021年 , 6.24万公里,2,31.39万,20.38万
思域 2019款 220TURBO CVT劲动版 国VI,本田,https://www.dongchedi.com/usedcar/18471252,佛山,2020年 , 5万公里,0,13.99万,7.98万
宝来 2020款 1.5L 自动舒适型,大众,https://www.dongchedi.com/usedcar/18470442,青岛,2020年 , 8.74万公里,1,13.50万,6.60万
哈弗二代大狗 2023款 1.5T 两驱潮野版Plus,哈弗,https://www.dongchedi.com/usedcar/18390396,沧州,2023年 , 3.65万公里,0,13.58万,10.56万
奥迪A7 2022款 45 TFSI 臻选型,奥迪,https://www.dongchedi.com/usedcar/18350835,合肥,2022年 , 5.50万公里,1,62.38万,35.60万
奥迪Q3 2015款 35 TFSI quattro 技术型,奥迪,https://www.dongchedi.com/usedcar/18304842,成都,2016年 , 15.52万公里,1,33.38万,5.30万
凯美瑞 2023款 2.5S 锋尚版,丰田,https://www.dongchedi.com/usedcar/18302522,东莞,2023年 , 2.90万公里,0,21.98万,15.28万
总裁 2006款 4.2L 标准版,玛莎拉蒂,https://www.dongchedi.com/usedcar/18127982,广州,2007年 , 15万公里,3,173.00万,5.88万
奥迪A6L 2021款 40 TFSI 豪华动感型,奥迪,https://www.dongchedi.com/usedcar/18094744,西安,2021年 , 7.55万公里,1,41.98万,23.98万
沃尔沃XC60 2017款 T5 AWD 智进升级版,沃尔沃,https://www.dongchedi.com/usedcar/17941720,石家庄,2017年 , 10.20万公里,0,39.89万,7.98万
皓影 2020款 240TURBO CVT两驱精英版,本田,https://www.dongchedi.com/usedcar/17695825,台州,2020年 , 6.27万公里,0,17.98万,10.98万
本田CR-V 2019款 240TURBO CVT两驱舒适版 国V,本田,https://www.dongchedi.com/usedcar/17559382,银川,2019年 , 8.22万公里,1,17.98万,9.54万
雅阁 2022款 260TURBO 豪华版,本田,https://www.dongchedi.com/usedcar/16979662,哈尔滨,2022年 , 6.32万公里,0,19.28万,12.58万
捷途X70 2023款 1.5T 手动超越版 7座,捷途,https://www.dongchedi.com/usedcar/18441772,成都,2023年 , 1万公里,0,9.09万,5.58万
奥迪Q5L 2022款 40T 豪华动感型,奥迪,https://www.dongchedi.com/usedcar/18390654,深圳,2022年 , 4.10万公里,0,41.58万,23.80万
雅阁 2016款 2.0L 精英版,本田,https://www.dongchedi.com/usedcar/18153055,广州,2017年 , 7.80万公里,1,18.98万,6.95万
奥迪A5 2021款 Cabriolet 40 TFSI 时尚动感型,奥迪,https://www.dongchedi.com/usedcar/18016720,佛山,2021年 , 6.80万公里,0,47.68万,23.38万
汉兰达 2018款 2.0T 四驱豪华版 7座 国V,丰田,https://www.dongchedi.com/usedcar/17995045,成都,2019年 , 5.80万公里,0,29.98万,15.98万
smart fortwo 2015款 1.0L 52千瓦硬顶灵动版,smart,https://www.dongchedi.com/usedcar/17991329,济南,2017年 , 4.80万公里,2,11.68万,4.78万
博越L 2023款 1.5TD DCT尊贵型,吉利汽车,https://www.dongchedi.com/usedcar/17516151,东莞,2024年 , 1.70万公里,0,13.17万,9.18万
宝马5系 2013款 525Li 豪华型,宝马,https://www.dongchedi.com/usedcar/15424053,淄博,2013年 , 18万公里,3,49.46万,5.98万
奔驰CLK级 2004款 CLK 240 跑车版,奔驰,https://www.dongchedi.com/usedcar/15020935,温州,2004年 , 8.99万公里,2,64.00万,2.38万
奔驰V级 2018款 V 260 领航版 国VI,奔驰,https://www.dongchedi.com/usedcar/18484892,南京,2020年 , 8.33万公里,1,47.18万,23.35万
迈腾 2023款 200万辆纪念版 330TSI DSG豪华型,大众,https://www.dongchedi.com/usedcar/18466205,成都,2023年 , 1.10万公里,0,22.69万,13.98万
雷克萨斯NX 2018款 200 前驱 锋行版 国V,雷克萨斯,https://www.dongchedi.com/usedcar/18447070,漳州,2019年 , 7万公里,1,29.80万,14.68万
奔驰E级 2018款 E 200 L 运动型,奔驰,https://www.dongchedi.com/usedcar/18437991,厦门,2018年 , 8.90万公里,2,43.68万,17.98万
马自达CX-4 2021款 2.0L 两驱蓝天探索版,马自达,https://www.dongchedi.com/usedcar/18394042,大连,2021年 , 3万公里,0,16.08万,9.28万
奔驰GLA 2023款 GLA 220,奔驰,https://www.dongchedi.com/usedcar/18314994,苏州,2023年 , 1.12万公里,0,31.58万,18.18万
林肯MKZ 2017款 2.0T 尊悦版,林肯,https://www.dongchedi.com/usedcar/18263661,武汉,2016年 , 9.52万公里,0,28.48万,5.85万
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,奔驰,https://www.dongchedi.com/usedcar/18176252,温州,2021年 , 3.04万公里,0,42.98万,22.98万
宝马X5(进口) 2021款 xDrive40i 尊享型M运动套装,宝马,https://www.dongchedi.com/usedcar/18175633,石家庄,2021年 , 7万公里,0,86.39万,49.70万
雅阁 2021款 260TURBO 豪华·星空限量版,本田,https://www.dongchedi.com/usedcar/18035398,南宁,2021年 , 3.60万公里,0,20.28万,11.68万
高尔夫 2023款 280TSI DSG Pro 20周年纪念,大众,https://www.dongchedi.com/usedcar/17642844,成都,2023年 , 1.20万公里,0,15.37万,9.48万
影豹 2023款 400T 自动R Max版,广汽传祺,https://www.dongchedi.com/usedcar/18484060,苏州,2023年 , 2.50万公里,1,15.80万,8.50万
宝马3系 2020款 325i M运动套装,宝马,https://www.dongchedi.com/usedcar/18451842,杭州,2020年 , 4.40万公里,0,31.39万,16.88万
别克GL8 2021款 陆上公务舱 652T 尊贵型,别克,https://www.dongchedi.com/usedcar/18427169,上海,2021年 , 2.90万公里,1,27.99万,16.20万
帕萨特 2020款 330TSI 精英版 国VI,大众,https://www.dongchedi.com/usedcar/18420826,哈尔滨,2020年 , 9万公里,0,21.79万,9.90万
英仕派 2022款 260TURBO 精悦版,本田,https://www.dongchedi.com/usedcar/18407640,东莞,2022年 , 3.70万公里,0,20.29万,12.58万
奥迪A6L 2019款 45 TFSI quattro 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18395457,西安,2020年 , 5.16万公里,1,46.38万,24.98万
雷克萨斯ES 2006款 350 豪华版,雷克萨斯,https://www.dongchedi.com/usedcar/18340233,北京,2008年 , 18万公里,1,57.20万,4.87万
MINI 2016款 2.0T COOPER S 先锋派,MINI,https://www.dongchedi.com/usedcar/18279198,北京,2017年 , 10万公里,1,31.28万,11.68万
奔驰E级 2022款 三次改款 E 300 L 时尚型 轿车,奔驰,https://www.dongchedi.com/usedcar/18273367,石家庄,2022年 , 4.83万公里,1,48.15万,35.83万
皓影 2021款 240TURBO CVT两驱精英版,本田,https://www.dongchedi.com/usedcar/18232791,长春,2021年 , 4万公里,1,17.98万,11.88万
宝马4系 2022款 425i M运动套装,宝马,https://www.dongchedi.com/usedcar/18118067,深圳,2021年 , 5.30万公里,0,37.39万,24.68万
红旗H5 2023款 2.0T 自动智联旗畅版,红旗,https://www.dongchedi.com/usedcar/18032105,北京,2023年 , 2.30万公里,0,18.98万,11.78万
